disease,disease_en,source,overview,symptoms,causes,risk_factors,prevention,when_to_see_doc,treatment,prognosis,complications,exams_and_tests,url
Chăm sóc nha khoa - người lớn,Dental care - adult,medlineplus,"CÁCH CHĂM SÓC RĂNG CỦA BẠN Răng khỏe sẽ sạch và không bị sâu răng. Nướu khỏe mạnh có màu hồng, săn chắc và không chảy máu. Để duy trì răng và nướu khỏe mạnh, hãy làm theo các bước sau: Dùng chỉ nha khoa ít nhất một lần mỗi ngày. Tốt nhất là dùng chỉ nha khoa sau khi đánh răng. Dùng chỉ nha khoa giúp loại bỏ mảng bám còn sót lại sau khi đánh răng từ kẽ răng và nướu. Đánh răng hai lần một ngày bằng bàn chải đánh răng có lông mềm. Chải ít nhất 2 phút mỗi lần. Sử dụng kem đánh răng có fluoride. Fluoride giúp củng cố men răng và giúp ngăn ngừa sâu răng. Thay bàn chải đánh răng của bạn sau mỗi 3 đến 4 tháng hoặc sớm hơn nếu cần. Bàn chải đánh răng bị mòn cũng không làm sạch được răng của bạn. Nếu bạn sử dụng bàn chải đánh răng điện, hãy thay đầu 3 đến 4 tháng một lần. Ăn một chế độ ăn uống lành mạnh. Bạn ít có khả năng mắc bệnh nướu răng nếu bạn ăn thực phẩm lành mạnh. Tránh đồ ngọt và đồ uống ngọt. Ăn và uống nhiều đồ ngọt làm tăng nguy cơ sâu răng. Nếu bạn ăn hoặc uống đồ ngọt, hãy đánh răng ngay sau đó. Đừng hút thuốc. Những người hút thuốc có nhiều vấn đề về răng và nướu hơn những người không hút thuốc. Giữ răng giả, vật giữ và các dụng cụ khác sạch sẽ. Điều này bao gồm việc chải chúng thường xuyên. Bạn cũng có thể cần phải ngâm chúng trong dung dịch tẩy rửa. Lên lịch kiểm tra thường xuyên với nha sĩ của bạn. Nhiều nha sĩ khuyên bạn nên làm sạch răng chuyên nghiệp 6 tháng một lần để có sức khỏe răng miệng tối ưu. Có thể cần phải gặp nha sĩ 3 đến 4 tháng một lần nếu nướu của bạn trở nên không khỏe mạnh. Việc làm sạch răng thường xuyên bởi nha sĩ hoặc chuyên gia vệ sinh răng miệng sẽ loại bỏ mảng bám có thể phát triển, ngay cả khi đánh răng và dùng chỉ nha khoa cẩn thận. Điều này rất quan trọng để tiếp cận những khu vực mà bạn khó tiếp cận. Làm sạch chuyên nghiệp bao gồm cạo vôi và đánh bóng. Thủ tục này sử dụng các dụng cụ để nới lỏng và loại bỏ cặn bám trên răng. Khám định kỳ có thể bao gồm chụp X-quang nha khoa. Nha sĩ của bạn có thể phát hiện sớm các vấn đề để chúng không trở nên nghiêm trọng hơn và việc khắc phục tốn kém hơn. Hãy hỏi nha sĩ hoặc chuyên gia vệ sinh răng miệng của bạn: Bạn nên dùng loại bàn chải đánh răng nào?",,,,,,,,,,https://medlineplus.gov/ency/article/001957.htm
Chăm sóc nha khoa - trẻ em,Dental care - child,medlineplus,"Con bạn phải có răng và nướu khỏe mạnh để có sức khỏe tổng thể tốt. Răng bị thương, bị bệnh hoặc kém phát triển có thể dẫn đến: Dinh dưỡng kém Nhiễm trùng đau đớn và nguy hiểm Các vấn đề về phát triển giọng nói Các vấn đề về phát triển xương mặt và xương hàm Nhận thức kém về bản thân. Khớp cắn xấu CHĂM SÓC RĂNG CỦA TRẺ EM Mặc dù trẻ sơ sinh và trẻ sơ sinh chưa có răng nhưng điều quan trọng là phải chăm sóc miệng và nướu của chúng. Hãy làm theo những lời khuyên sau: Dùng khăn ẩm để lau nướu cho trẻ sau mỗi bữa ăn. Đừng đặt trẻ sơ sinh hoặc trẻ nhỏ đi ngủ với một bình sữa, nước trái cây hoặc nước đường. Chỉ sử dụng nước để pha bình đi ngủ. Bắt đầu sử dụng bàn chải đánh răng mềm thay vì khăn lau để làm sạch răng của trẻ ngay khi trẻ mọc chiếc răng đầu tiên (thường là từ 5 đến 8 tháng tuổi). Hãy hỏi nhà cung cấp dịch vụ chăm sóc sức khỏe của con bạn xem trẻ sơ sinh của bạn có cần uống fluoride hay không. CHUYẾN ĐI ĐẦU TIÊN ĐẾN NHA KHOA Lần khám răng đầu tiên của con bạn nên diễn ra trong khoảng thời gian từ khi chiếc răng đầu tiên xuất hiện cho đến khi nhìn thấy tất cả các răng sữa (trước 2 tuổi rưỡi). Nhiều nha sĩ khuyên bạn nên đến thăm khám ""thử"". Điều này có thể giúp con bạn làm quen với khung cảnh, âm thanh, mùi vị và cảm giác của văn phòng trước kỳ thi thực sự. Trẻ đã quen với việc được lau nướu và đánh răng hàng ngày sẽ cảm thấy thoải mái hơn khi đến gặp nha sĩ. CHĂM SÓC RĂNG CỦA TRẺ Đánh răng và nướu của trẻ ít nhất hai lần mỗi ngày và đặc biệt là trước khi đi ngủ. Để trẻ tự chải răng để tập thói quen đánh răng nhưng bạn nên giám sát và thực hiện việc chải răng thật cho trẻ. Đưa con bạn đến nha sĩ 6 tháng một lần. Hãy cho nha sĩ biết liệu con bạn có thói quen mút ngón tay cái hay thở bằng miệng hay không. Dạy con bạn cách chơi an toàn và phải làm gì nếu răng bị gãy hoặc rơi ra ngoài. Nếu bạn hành động nhanh chóng, bạn thường có thể cứu được chiếc răng. Khi con bạn mọc răng, bé nên bắt đầu dùng chỉ nha khoa vào mỗi buổi tối trước khi đi ngủ. Con bạn có thể cần điều trị chỉnh nha để ngăn ngừa vấn đề lâu dài",,,,,,,,,,https://medlineplus.gov/ency/article/002213.htm
Sâu răng,Dental cavities,medlineplus,,"Có thể không có triệu chứng. Nếu các triệu chứng xảy ra, chúng có thể bao gồm: Đau răng hoặc cảm giác đau nhức, đặc biệt là sau khi ăn đồ uống ngọt, nóng hoặc lạnh Có thể nhìn thấy các hố hoặc lỗ trên răng","Sâu răng là một chứng rối loạn rất phổ biến. Nó thường xảy ra ở trẻ em và thanh niên, nhưng nó có thể ảnh hưởng đến bất kỳ ai. Sâu răng là nguyên nhân gây mất răng phổ biến ở người trẻ tuổi. Vi khuẩn thường được tìm thấy trong miệng của bạn. Những vi khuẩn này biến đổi thức ăn, đặc biệt là đường và tinh bột, thành axit. Vi khuẩn, axit, thức ăn và nước bọt kết hợp trong miệng tạo thành một chất dính gọi là mảng bám. Mảng bám dính vào răng. Nó phổ biến nhất ở các răng hàm phía sau, ngay phía trên đường viền nướu của tất cả các răng và ở các cạnh của miếng trám. Mảng bám không được loại bỏ khỏi răng sẽ biến thành một chất gọi là cao răng hoặc cao răng. Mảng bám và cao răng gây kích ứng nướu, dẫn đến viêm nướu và viêm nha chu. Mảng bám bắt đầu tích tụ trên răng trong vòng 20 phút sau khi ăn. Nếu không được loại bỏ, nó sẽ cứng lại và biến thành cao răng (tính toán). Các axit trong mảng bám làm hỏng men răng của bạn. Nó cũng tạo ra các lỗ trên răng gọi là sâu răng. Sâu răng thường không gây đau, trừ khi chúng phát triển rất lớn và ảnh hưởng đến dây thần kinh hoặc gây gãy răng. Sâu răng không được điều trị có thể dẫn đến nhiễm trùng ở răng gọi là áp xe răng. Sâu răng không được điều trị cũng phá hủy phần bên trong của răng (tủy răng). Điều này đòi hỏi phải điều trị rộng rãi hơn hoặc có thể phải nhổ bỏ răng. Carbohydrate (đường và tinh bột) làm tăng nguy cơ sâu răng. Thức ăn dính có hại hơn thức ăn không dính vì chúng còn đọng lại trên răng. Ăn vặt thường xuyên làm tăng thời gian axit tiếp xúc với bề mặt răng.",,"Vệ sinh răng miệng là cần thiết để ngăn ngừa sâu răng. Điều này bao gồm làm sạch chuyên nghiệp thường xuyên (6 tháng một lần), đánh răng ít nhất hai lần một ngày và dùng chỉ nha khoa ít nhất mỗi ngày. Chụp X-quang có thể được thực hiện hàng năm để phát hiện khả năng phát triển sâu răng ở những vùng có nguy cơ cao trong miệng. Tốt nhất nên ăn thức ăn dai, dính (chẳng hạn như trái cây khô hoặc kẹo) như một phần của bữa ăn thay vì chỉ ăn vặt như một bữa ăn nhẹ. Nếu có thể, hãy đánh răng hoặc súc miệng bằng nước sau khi ăn những thực phẩm này. Hạn chế ăn vặt vì nó tạo ra nguồn cung cấp đường liên tục trong miệng của bạn. Tránh nhấm nháp liên tục đồ uống có đường hoặc thường xuyên ngậm kẹo và bạc hà. Chất trám răng có thể ngăn ngừa một số sâu răng. Chất trám kín là lớp phủ mỏng giống như nhựa được áp dụng cho bề mặt nhai của các răng sau (răng tiền hàm và răng hàm). Lớp phủ này ngăn ngừa sự tích tụ mảng bám ở các rãnh sâu trên các bề mặt này. Chất trám kín thường được bôi lên răng của trẻ em ngay sau khi răng hàm của chúng mọc. Người lớn tuổi cũng có thể được hưởng lợi từ chất trám kín răng. Fluoride thường được khuyên dùng để bảo vệ chống sâu răng. Những người bổ sung florua vào nước uống hoặc bằng cách bổ sung florua sẽ ít bị sâu răng hơn. Fluoride tại chỗ cũng được khuyên dùng để bảo vệ bề mặt răng. Điều này có thể bao gồm kem đánh răng hoặc nước súc miệng có fluoride. Nhiều nha sĩ coi việc bôi dung dịch florua tại chỗ (bôi lên răng) như một phần của các lần khám định kỳ.","Hãy liên hệ với nha sĩ nếu bạn bị đau răng, khó chịu hoặc nhìn thấy các đốm đen trên răng. Hãy đến gặp nha sĩ để được làm sạch và kiểm tra định kỳ nếu bạn chưa gặp nha sĩ trong 6 tháng qua.","Điều trị sâu răng có thể giúp ngăn ngừa tổn thương răng thêm. Điều trị có thể bao gồm: Trám răng Mão răng Các nha sĩ trám răng bằng cách loại bỏ vật liệu răng bị sâu bằng mũi khoan và thay thế bằng vật liệu như nhựa composite, glass ionomer hoặc amalgam. Nhựa composite là vật liệu được ưa chuộng hiện nay vì nó gần giống với hình dáng răng tự nhiên hơn và cũng đủ chắc chắn để sử dụng ở bất kỳ vị trí nào trong miệng, kể cả răng sau, nơi diễn ra phần lớn hoạt động nhai. Mão răng hoặc ""mũ chụp"" được sử dụng nếu tình trạng sâu răng lan rộng và cấu trúc răng bị hạn chế, có thể khiến răng yếu đi. Miếng trám lớn và răng yếu làm tăng nguy cơ gãy răng. Khu vực bị hư hỏng hoặc suy yếu được loại bỏ và sửa chữa. Một mão răng được lắp trên phần còn lại của răng. Mão răng thường được làm bằng vàng, sứ hoặc sứ hợp nhất với kim loại. Nên điều trị tủy nếu tủy răng tiếp xúc với vi khuẩn hoặc nếu dây thần kinh trong răng bị chết do sâu răng hoặc chấn thương. Phần trung tâm của răng, bao gồm mô thần kinh và mạch máu (tủy răng), sẽ bị loại bỏ cùng với những phần răng bị hư hỏng. Rễ được lấp đầy bằng vật liệu bịt kín gọi là gutta percha. Răng đã được trám và trong hầu hết các trường hợp cần phải bọc mão răng để bịt kín và bảo vệ răng sau đó.",Điều trị thường cứu được răng. Việc điều trị sẽ ít đau đớn và ít tốn kém hơn nếu được thực hiện sớm. Bạn có thể cần thuốc gây tê và thuốc giảm đau theo toa để giảm đau trong hoặc sau khi làm răng. Oxit nitơ với thuốc gây tê cục bộ hoặc các loại thuốc khác có thể là một lựa chọn nếu bạn sợ điều trị nha khoa.,Sâu răng có thể dẫn đến: Khó chịu hoặc đau Răng bị gãy Không thể cắn vào răng Áp xe răng Nhạy cảm với xương Nhiễm trùng xương Mất xương Mất răng,Hầu hết sâu răng được phát hiện ở giai đoạn đầu khi khám răng định kỳ. Khám nha khoa có thể cho thấy bề mặt của răng mềm. Chụp X-quang nha khoa có thể cho thấy một số lỗ sâu răng trước khi chúng có thể được nhìn thấy chỉ bằng cách nhìn vào răng.,https://medlineplus.gov/ency/article/001055.htm
Mão răng,Dental crowns,medlineplus,"Để bọc mão răng thường phải mất hai lần khám nha khoa. Ở lần khám đầu tiên, nha sĩ sẽ: Gây tê răng cũng như các răng lân cận và nướu xung quanh răng sắp bọc mão để bạn không cảm thấy gì. Loại bỏ bất kỳ phục hình cũ hoặc không đạt yêu cầu (trám răng) hoặc sâu răng. Định hình lại răng của bạn để chuẩn bị cho việc bọc răng. Lấy dấu răng của bạn để gửi đến phòng thí nghiệm nha khoa nơi họ làm mão răng vĩnh viễn. Một số nha sĩ có thể quét kỹ thuật số chiếc răng và làm mão răng tại phòng khám của họ. Đôi khi, ấn tượng được thực hiện ở lần truy cập thứ hai thay vì lần truy cập đầu tiên. Tạo và lắp răng của bạn bằng mão răng tạm thời. Ở lần khám thứ hai, nha sĩ sẽ: Tháo mão răng tạm thời. Lắp vương miện vĩnh viễn của bạn. Nha sĩ của bạn có thể chụp X-quang để đảm bảo mão răng vừa khít. Xi măng vương miện tại chỗ.",,,,,,,"Khi đội mão răng, bạn sẽ cảm thấy thoải mái hơn khi nhai và trông nó sẽ đẹp. Hầu hết các mão răng phải tồn tại ít nhất 5 năm và có thể tồn tại lâu nhất là 15 đến 20 năm.",,,https://medlineplus.gov/ency/article/007631.htm
Các vấn đề về răng giả,Denture problems,medlineplus,"Răng giả không vừa khít có thể gây khó chịu hoặc kích ứng khi di chuyển. Chúng được gọi là vết đau. Chất kết dính răng giả có thể giúp giảm chuyển động này. Cấy ghép nha khoa có thể được khuyến khích trong hầu hết các trường hợp. Cấy ghép giúp ổn định răng giả, giảm thiểu sự di chuyển của chúng và ngăn ngừa vết loét. Chúng chỉ nên được đặt bởi một nha sĩ được đào tạo bài bản có chuyên môn về cấy ghép răng. Gặp nha sĩ nếu răng giả của bạn không vừa khít. Chúng có thể cần phải được điều chỉnh hoặc sắp xếp lại. Các mẹo làm răng giả khác: Chà răng giả bằng xà phòng thường và nước ấm sau khi ăn. Không làm sạch chúng bằng kem đánh răng hoặc nước súc miệng. Lấy răng giả ra qua đêm để ngăn ngừa vết loét, nhiễm trùng và viêm nhiễm. Giữ răng giả của bạn trong chất làm sạch răng giả qua đêm. Làm sạch, nghỉ ngơi và mát xa nướu thường xuyên. Súc miệng hàng ngày bằng nước muối ấm để giúp làm sạch nướu. Không dùng tăm khi đeo răng giả.",,,,,,,,,,https://medlineplus.gov/ency/article/002037.htm
Ngộ độc chất khử mùi,Deodorant poisoning,medlineplus,,"Các triệu chứng của ngộ độc chất khử mùi bao gồm: Đau bụng Nhìn mờ Khó thở Đau rát ở cổ họng Suy sụp Hôn mê (mức độ ý thức giảm và thiếu phản ứng) Tiêu chảy (chảy nước, có máu) Không thể đi lại bình thường Thiếu tỉnh táo ( sững sờ ) Huyết áp thấp Không có nước tiểu Phát ban Nói lắp Nôn mửa Nếu chất khử mùi lọt vào mắt, có thể xảy ra bỏng mắt.",,,,,,Một người khỏe mạnh đến mức nào tùy thuộc vào lượng chất độc nuốt vào và tốc độ họ được điều trị. Sự trợ giúp y tế càng nhanh thì cơ hội phục hồi càng cao. Ngộ độc nặng khó có thể xảy ra.,,,https://medlineplus.gov/ency/article/002696.htm
Rối loạn nhân cách phụ thuộc,Dependent personality disorder,medlineplus,,"Những người mắc chứng rối loạn này không tin tưởng vào khả năng đưa ra quyết định của chính mình. Họ có thể rất buồn vì sự chia ly và mất mát. Họ có thể phải nỗ lực rất nhiều, thậm chí phải chịu đựng sự lạm dụng để duy trì một mối quan hệ. Các triệu chứng của rối loạn nhân cách phụ thuộc có thể bao gồm: Tránh ở một mình Tránh trách nhiệm cá nhân Dễ bị tổn thương bởi những lời chỉ trích hoặc không tán thành Trở nên quá tập trung vào nỗi sợ bị bỏ rơi Trở nên rất thụ động trong các mối quan hệ Cảm thấy rất khó chịu hoặc bất lực khi các mối quan hệ kết thúc Gặp khó khăn trong việc đưa ra quyết định mà không có sự hỗ trợ từ người khác Có vấn đề trong việc thể hiện sự bất đồng với người khác",Nguyên nhân của rối loạn nhân cách phụ thuộc chưa được biết rõ. Rối loạn thường bắt đầu từ thời thơ ấu. Đây là một trong những rối loạn nhân cách phổ biến nhất và phổ biến như nhau ở cả nam và nữ.,,,"Hãy gặp nhà cung cấp dịch vụ của bạn hoặc chuyên gia sức khỏe tâm thần nếu bạn hoặc con bạn có các triệu chứng rối loạn nhân cách phụ thuộc. Nếu bạn hoặc ai đó bạn biết đang nghĩ đến việc tự tử, hãy gọi hoặc nhắn tin tới 988 hoặc trò chuyện 988lifeline.org. Bạn cũng có thể gọi 1-800-273-8255 (1-800-273-TALK). Đường dây nóng tự tử và khủng hoảng 988 cung cấp hỗ trợ miễn phí và bí mật 24/7, bất cứ lúc nào ngày hay đêm. Bạn cũng có thể gọi 911 hoặc số cấp cứu tại địa phương hoặc đến phòng cấp cứu của bệnh viện. KHÔNG trì hoãn. Nếu ai đó bạn biết đã cố gắng tự tử, hãy gọi ngay 911 hoặc số khẩn cấp tại địa phương. KHÔNG để người đó một mình, ngay cả sau khi bạn đã kêu cứu.","Liệu pháp nói chuyện được coi là phương pháp điều trị hiệu quả nhất. Mục đích là giúp những người mắc bệnh này đưa ra những lựa chọn độc lập hơn trong cuộc sống. Thuốc có thể giúp điều trị các tình trạng tâm thần khác, chẳng hạn như lo lắng hoặc trầm cảm, xảy ra cùng với chứng rối loạn này.",Những cải thiện thường chỉ thấy được khi điều trị lâu dài.,"Các biến chứng có thể bao gồm: Rối loạn sử dụng rượu hoặc chất gây nghiện Trầm cảm Tăng khả năng lạm dụng thể chất, cảm xúc hoặc tình dục Ý nghĩ tự tử và tự tử",Rối loạn nhân cách phụ thuộc được chẩn đoán dựa trên đánh giá tâm lý. Nhà cung cấp dịch vụ chăm sóc sức khoẻ sẽ xem xét các triệu chứng của người đó đã kéo dài bao lâu và nghiêm trọng đến mức nào.,https://medlineplus.gov/ency/article/000941.htm
Rối loạn phi cá nhân hóa-mất thực tế,Depersonalization-derealization disorder,mayo,"xảy ra khi bạn luôn hoặc thường xuyên cảm thấy rằng bạn đang nhìn chính mình từ bên ngoài cơ thể hoặc bạn cảm thấy rằng mọi thứ xung quanh mình không có thật - hoặc cả hai. Cảm giác mất cá nhân hóa và phi thực tế hóa có thể rất đáng lo ngại. Bạn có thể cảm thấy như đang sống trong một giấc mơ. Nhiều người đã trải qua trải nghiệm thoáng qua về việc mất cá nhân hóa hoặc mất hiện thực hóa ở một thời điểm nào đó. Nhưng khi những cảm giác này tiếp tục xảy ra hoặc không bao giờ biến mất hoàn toàn và chúng khiến bạn khó hoạt động thì đó có thể là chứng rối loạn mất nhân cách hóa-mất nhận thức. Tình trạng này phổ biến hơn ở những người trải qua chấn thương, chẳng hạn như bạo lực, lạm dụng hoặc các loại căng thẳng cực độ khác. Rối loạn phi nhân cách hóa-mất thực tế có thể nghiêm trọng và có thể cản trở các mối quan hệ cũng như công việc của bạn. Nó cũng có thể làm gián đoạn các hoạt động hàng ngày khác. Phương pháp điều trị chính cho chứng rối loạn mất nhân cách hóa-mất thực tế là liệu pháp tâm lý, còn được gọi là liệu pháp nói chuyện. Đôi khi thuốc cũng được sử dụng. Sản phẩm & Dịch vụ Sách: Sách sức khỏe gia đình Mayo Clinic Bản tin: Thư sức khỏe của Mayo Clinic - Phiên bản kỹ thuật số Hiển thị thêm sản phẩm từ Mayo Clinic","Những trải nghiệm ngắn về cá nhân hóa hoặc phi thực tế hóa là khá phổ biến. Nhưng những cơn triệu chứng này kéo dài và tái phát có thể gây ra vấn đề ở nơi làm việc, trường học hoặc trong các lĩnh vực quan trọng khác trong cuộc sống của bạn. Trong những cơn đau này, bạn biết rằng cảm giác không được kết nối với cơ thể hoặc môi trường xung quanh chỉ là cảm giác chứ không phải thực tế. Trải nghiệm và cảm giác về tình trạng này có thể khó diễn tả. Lo lắng về việc “phát điên” có thể khiến bạn tập trung vào việc kiểm tra xem bạn có tồn tại hay không và tìm hiểu xem đâu là sự thật. Các triệu chứng thường bắt đầu ở giữa hoặc cuối tuổi thiếu niên hoặc ở tuổi trưởng thành sớm. Rối loạn mất nhân cách-mất thực tế hiếm gặp ở trẻ em và người lớn tuổi.",Nguyên nhân của chứng rối loạn phi cá nhân hóa-mất thực tế vẫn chưa được hiểu rõ. Một số người có thể có nhiều khả năng gặp phải tình trạng mất cá nhân hóa và mất thực tế hơn những người khác. Điều này có thể là do yếu tố di truyền và môi trường. Mức độ căng thẳng và sợ hãi cao có thể gây ra cơn đau. Các triệu chứng của rối loạn mất nhân cách-mất nhận thức có thể liên quan đến chấn thương thời thơ ấu hoặc những trải nghiệm hoặc sự kiện khác gây ra căng thẳng hoặc chấn thương cảm xúc nghiêm trọng.,"Các yếu tố có thể làm tăng nguy cơ mắc chứng rối loạn phi nhân cách hóa-mất thực tế bao gồm: Một số đặc điểm tính cách khiến bạn muốn tránh xa những tình huống căng thẳng hoặc khiến bạn khó diễn tả trải nghiệm cảm xúc của mình. Chấn thương nghiêm trọng khi còn nhỏ hoặc người lớn, như trải qua hoặc chứng kiến ​​một sự kiện đau thương, chẳng hạn như bạo lực hoặc lạm dụng. Căng thẳng nghiêm trọng, chẳng hạn như các mối quan hệ lớn, các vấn đề liên quan đến tài chính hoặc công việc. Trầm cảm hoặc lo lắng, đặc biệt là trầm cảm nghiêm trọng, trầm cảm kéo dài hoặc lo lắng kèm theo các cơn hoảng loạn. Lạm dụng ma túy, có thể gây ra các cơn mất nhân cách hoặc mất thực tế.",,"Việc trải qua cảm giác mất cá nhân hóa hoặc mất thực tế là phổ biến và không phải lúc nào cũng là nguyên nhân gây lo ngại. Nhưng cảm giác tách rời và bóp méo môi trường xung quanh bạn đang diễn ra hoặc nghiêm trọng có thể là dấu hiệu của chứng rối loạn mất nhân cách-mất nhận thức hoặc một tình trạng sức khỏe thể chất hoặc tinh thần khác. Hãy đi khám bác sĩ nếu bạn có cảm giác mất nhân cách hoặc mất nhận thức: Đang làm phiền bạn hoặc đang làm gián đoạn cảm xúc của bạn. Đừng rời đi hoặc tiếp tục quay trở lại. Cản trở công việc, các mối quan hệ hoặc hoạt động hàng ngày. Có một vấn đề với
 thông tin được gửi cho yêu cầu này. Xem xét/cập nhật
 thông tin được đánh dấu bên dưới và gửi lại biểu mẫu. Từ Mayo Clinic tới hộp thư đến của bạn Đăng ký miễn phí và cập nhật những tiến bộ trong nghiên cứu, lời khuyên về sức khỏe, chủ đề sức khỏe hiện tại và kiến ​​thức chuyên môn về quản lý sức khỏe. Bấm vào đây để xem trước email. Địa chỉ Email 1 Lỗi Trường email là bắt buộc Lỗi Bao gồm địa chỉ email hợp lệ Tìm hiểu thêm về việc sử dụng dữ liệu của Mayo Clinic. Chúng tôi sử dụng dữ liệu bạn cung cấp để cung cấp cho bạn nội dung bạn yêu cầu. Để cung cấp cho bạn thông tin hữu ích và phù hợp nhất, chúng tôi có thể kết hợp dữ liệu email và trang web của bạn với các thông tin khác mà chúng tôi có về bạn. Nếu bạn là bệnh nhân của Mayo Clinic, chúng tôi sẽ chỉ sử dụng thông tin sức khỏe được bảo vệ của bạn như được nêu trong Thông báo về Thực hành Quyền riêng tư của chúng tôi. Bạn có thể từ chối nhận thông tin liên lạc qua email bất kỳ lúc nào bằng cách nhấp vào liên kết hủy đăng ký trong email. Đặt mua! Cảm ơn bạn đã đăng ký! Bạn sẽ sớm bắt đầu nhận được thông tin sức khỏe mới nhất của Mayo Clinic mà bạn yêu cầu trong hộp thư đến của mình. Rất tiếc, đã xảy ra sự cố với đăng ký của bạn Vui lòng thử lại sau vài phút Thử lại",,,,,https://www.mayoclinic.org/diseases-conditions/depersonalization-derealization-disorder/symptoms-causes/syc-20352911
Ngộ độc thuốc làm rụng lông,Depilatory poisoning,medlineplus,,"Các triệu chứng của ngộ độc thuốc làm rụng lông bao gồm: Đau bụng Nhìn mờ Khó thở Đau rát ở cổ họng Bỏng vào mắt (nếu kem làm rụng lông dính vào mắt) Suy sụp (sốc) Hôn mê (giảm mức độ ý thức và thiếu phản ứng) Tiêu chảy (chảy nước, có máu) Chảy nước dãi Không thể đi lại bình thường Huyết áp thấp Không có nước tiểu Phát ban Nói lắp Ngẩn ngơ (giảm mức độ ý thức) Nôn mửa",,,,,,"Đây có thể là một vụ ngộ độc rất nghiêm trọng. Một người khỏe mạnh đến mức nào tùy thuộc vào lượng chất độc họ nuốt vào và tốc độ họ được điều trị. Sự trợ giúp y tế càng nhanh thì cơ hội phục hồi càng cao. Có thể bị tổn thương nặng ở miệng, cổ họng và dạ dày. Việc ai đó làm như thế nào phụ thuộc vào mức độ thiệt hại. Tổn thương này có thể tiếp tục phát triển ở thực quản (ống dẫn thức ăn) và dạ dày trong vài tuần sau khi nuốt sản phẩm. Nếu một lỗ hình thành trong các cơ quan này, có thể xảy ra chảy máu nghiêm trọng và nhiễm trùng.",,,https://medlineplus.gov/ency/article/002697.htm
Trầm cảm,Depression,medlineplus,,,"Trầm cảm thường xảy ra trong gia đình. Điều này có thể là do gen, hành vi bạn học được ở nhà hoặc môi trường của bạn. Trầm cảm có thể được kích hoạt bởi các sự kiện căng thẳng hoặc không vui trong cuộc sống. Thông thường, nó là sự kết hợp của những điều này. Nhiều yếu tố có thể dẫn đến trầm cảm, bao gồm: Sử dụng rượu hoặc ma túy bất hợp pháp Các tình trạng y tế, chẳng hạn như tuyến giáp kém hoạt động, ung thư hoặc đau dài hạn (mãn tính) Vấn đề về giấc ngủ Một số loại thuốc, chẳng hạn như steroid hoặc thuốc chẹn beta Các sự kiện căng thẳng trong cuộc sống, chẳng hạn như mất việc làm, ly hôn hoặc cái chết của vợ/chồng hoặc thành viên khác trong gia đình Cách ly xã hội (một nguyên nhân phổ biến gây trầm cảm ở người lớn tuổi)",,,"Liên hệ với nhà cung cấp của bạn nếu: Bạn nghe thấy những giọng nói không có ở đó. Bạn thường xuyên khóc mà không có lý do. Chứng trầm cảm của bạn đã ảnh hưởng đến công việc, trường học hoặc cuộc sống gia đình của bạn lâu hơn 2 tuần. Bạn có ba hoặc nhiều triệu chứng trầm cảm. Bạn nghĩ rằng một trong những loại thuốc hiện tại của bạn có thể khiến bạn cảm thấy chán nản. Không thay đổi hoặc ngừng dùng bất kỳ loại thuốc nào mà không nói chuyện với nhà cung cấp của bạn. Bạn nghĩ con bạn có thể bị trầm cảm. Bạn cũng nên liên hệ với nhà cung cấp của mình nếu: Bạn nghĩ rằng bạn nên cắt giảm việc uống rượu Một thành viên trong gia đình hoặc bạn bè đã yêu cầu bạn cắt giảm việc uống rượu Bạn cảm thấy tội lỗi về lượng rượu mình uống Bạn uống rượu trước tiên vào buổi sáng Nếu bạn hoặc ai đó bạn biết đang nghĩ đến việc tự tử, hãy gọi điện hoặc nhắn tin cho 988 hoặc trò chuyện với 988lifeline.org. Bạn cũng có thể gọi 1-800-273-8255 (1-800-273-TALK). Đường dây nóng tự tử và khủng hoảng 988 cung cấp hỗ trợ miễn phí và bí mật 24/7, bất cứ lúc nào ngày hay đêm. Bạn cũng có thể gọi 911 hoặc số cấp cứu tại địa phương hoặc đến phòng cấp cứu của bệnh viện. KHÔNG trì hoãn. Nếu ai đó bạn biết đã cố gắng tự tử, hãy gọi ngay 911 hoặc số khẩn cấp tại địa phương. KHÔNG để người đó một mình, ngay cả sau khi bạn đã kêu cứu.",,,,,https://medlineplus.gov/ency/article/003213.htm
